name,manager,division
Ben's Team,bgrout+fl1@aecordigital.com,Famous Five
Richard's Team,rstenson+fl1@aecordigital.com,Famous Five
Johan's Team,jhaynes+fl1@aecordigital.com,Famous Five
Stuart's Team,stuart@thinkandthing.com,Famous Five
Matt's Team,matts@fantasyleague.com,Famous Five
Ben's Novice Team,bgrout+fl1@aecordigital.com,Championship
Richard's Novice Team,rstenson+fl1@aecordigital.com,Championship
Johan's Novice Team,jhaynes+fl1@aecordigital.com,Championship
Stuart's Novice Team,stuart@thinkandthing.com,Championship
Matt's Novice Team,matts@fantasyleague.com,Championship
